,review_no,discount_text
1140851,1502240,free copy
1142450,705226,free copy
1143044,1949734,review sample
1143394,651512,Review sample
1143678,1949557,free copy
1144717,1346055,review sample
1144914,1206102,free copy
1151436,2968712,review sample
1151613,2533352,free copy
1152148,1953962,free copy
1153127,1521140,review sample
1155290,1104902,review sample
1158585,3053804,sample product
1161071,3309210,review sample
1161840,2570258,review sample
1162017,2415855,free copy
1162051,2420845,sample product
1162539,485812,review sample
1162639,1754443,free copy
1162948,2649985,Review sample
1164183,697043,Review sample
1164454,276697,free copy
1165594,494790,sample product
1166781,175583,Sample product
1166901,2753207,review sample
1166909,1529415,sample product
1166982,2599609,review sample
1167537,3094865,review sample
1167844,830975,Product Sample
1168167,2759596,free copy
1168490,922915,free copy
1169394,1416958,free copy
1170760,1609282,free copy
1170812,474033,review sample
1171232,2255847,review sample
1172018,2732162,free copy
1172111,827488,free copy
1173226,1005262,Review sample
1173938,1539646,review sample
1175209,3214086,review sample
1176454,1852653,review sample
1177732,3469352,sample product
1177994,3393022,review sample
1180632,2190295,free copy
1181562,3109571,sample product
1182308,1958814,sample product
1182705,1007036,free copy
1183757,1149592,free copy
1185867,1735506,free copy
1189398,2418766,Product sample
1190294,2730811,sample product
1190684,163893,review sample
1192086,1711308,review sample
1192281,17436,sample product
1192495,31173,sample product
1192836,2650934,review sample
1196993,2751128,sample product
1197379,687589,free copy
1197967,1940719,free copy
1199864,2776876,sample product
1200815,462264,review sample
1202455,92736,Sample product
1202536,347968,review sample
1202655,933631,free copy
1203784,1854140,free copy
1204498,2555362,sample product
1206138,458589,review sample
1208052,1643520,free copy
1208954,599102,sample product
1209528,3128043,review sample
1211525,1396338,free copy
1212191,543255,review sample
1212194,843539,review sample
1214146,3454303,review sample
1215786,1412066,sample product
1217063,2275151,free copy
1217556,2085428,free copy
1217898,1710493,sample product
1219759,3081410,sample product
1220753,1771181,free copy
1221305,589703,review sample
1221408,2253238,sample product
1221489,2051997,free copy
1222275,2773275,sample product
1222449,2179863,review sample
1222920,657833,sample product
1224365,3423,review sample
1224391,2521868,free copy
1224702,1499361,review sample
1224848,2748754,free copy
1226456,2887115,review sample
1229679,2971361,free copy
1231458,1723621,review sample
1232525,1112635,review sample
1232749,827615,Review sample
1234250,2707031,Product sample
1234428,2217982,sample product
1234781,4799,review sample
1235925,2033905,sample product
1235999,2380421,Product sample
1236219,2209003,free copy
1236936,3292952,free copy
1237781,2728795,review sample
1239333,444470,review sample
1239784,2684030,free copy
1240702,2832143,Review sample
1240834,2883175,Product sample
1242355,2220455,free copy
1242391,79835,free copy
1245101,2854662,sample product
1245133,3356247,Review sample
1245520,1542853,free copy
1246329,1244836,free copy
1246595,2368912,free copy
1247297,662379,review sample
1248001,2462580,sample product
1248090,2798690,review sample
1248128,2130750,review sample
1250039,2224044,free copy
1254254,3451494,sample product
1255500,2646686,review sample
1255518,950740,Review sample
1256420,3131553,sample item
1257386,3217248,sample product
1257990,2998883,free copy
1259316,2672125,review sample
1260363,24742,free copy
1260879,723,free copy
1261734,2689660,review sample
1263423,2342184,free copy
1264392,2160450,free copy
1265325,1098222,Review sample
1265801,2457334,sample product
1266710,526272,review sample
1268483,762398,free copy
1268560,188036,sample product
1269362,2731518,Review sample
1269577,1673657,Product sample
1272685,3128789,review sample
1274621,2457096,review sample
1276356,2911336,sample product
1278498,2510950,sample product
1280237,2309385,free copy
1280244,1476967,free copy
1280766,1237404,free copy
1282032,1563855,review sample
1284212,2213536,review sample
1285374,1320433,sample product
1287607,2834156,review sample
1288018,1205848,review sample
1288111,2619167,review sample
1289123,2750421,Product sample
1289760,491129,product sample
1289962,545147,Review sample
1290512,2215264,sample product
1290844,3025782,free copy
1291448,2918897,review sample
1291613,2514892,free copy
1293423,1797298,review sample
1294036,475577,free copy
1294384,2889547,review sample
1295234,2458051,review sample
1295485,2154673,review sample
1295606,3421518,review sample
1296402,3080507,sample product
1296984,2309092,free copy
1297733,3001968,sample product
1298468,2273085,free copy
1298505,1176460,review sample
1299038,2470687,review sample
1300243,3473454,sample product
1300482,2589916,sample product
1300760,2877761,review sample
1301425,3132997,Review Sample
1302110,3491930,sample product
1302791,3426715,free copy
1303356,2503318,review sample
1303372,545253,review sample
1304669,2611465,free copy
1306072,2507655,free copy
1307169,2019680,product sample
1307664,626399,review sample
1308473,1242820,sample product
1309149,858561,Review sample
1310884,3088545,product sample
1310952,1042391,free copy
1313502,1209142,review sample
1314022,1651976,free copy
1314553,449651,review sample
1314947,691930,free copy
1316168,1335857,review sample
1316840,3244930,review sample
1316915,1394582,sample product
1321953,1743550,free copy
1327101,1990265,sample product
1328307,884898,review sample
1329683,2919006,review sample
1332080,577661,free copy
1332162,2255398,free copy
1333947,2876349,sample product
1335612,2911387,review sample
1336530,512626,review sample
1336978,878282,review sample
1341083,1163972,Product sample
1342050,1913518,free copy
1342934,1857161,review sample
1346600,851188,free copy
1349164,2019145,free copy
1349837,3429732,Review sample
1350104,3336361,sample product
1351554,1221032,free copy
1356438,2369247,free copy
1356525,2780099,review sample
1357387,1439992,sample product
1358080,466202,review sample
1358199,1749041,free copy
1358259,342418,sample product
1360689,1116707,sample product
1360871,2846084,Product sample
1362227,645481,sample product
1362478,974575,sample product
1363523,671267,review sample
1365294,908689,sample product
1366510,2368096,sample product
1367597,3073351,free copy
1369608,3269385,review sample
1369953,1936580,free copy
1370191,2012786,sample product
1371417,2006845,review sample
1372616,3132601,review sample
1372729,1018010,sample product
1375833,2723669,review sample
1376434,1642884,review sample
1376666,1746324,free copy
1377083,2949471,sample product
1377200,1325425,free copy
1378324,2039150,free copy
1380613,845561,free copy
1381756,1790761,free copy
1382767,1051383,sample product
1383133,2862079,free copy
1383490,2516121,sample unit
1384842,1639923,Review sample
1384872,1086933,free copy
1385015,1620024,review sample
1386676,2465590,sample product
1388270,565619,sample product
1389122,53293,free copy
1389515,1890719,free copy
1389774,2636421,sample product
1392358,2060400,sample product
1393203,3037775,review sample
1393409,1699958,free copy
1396466,66129,free copy
1396711,2131740,free copy
1396842,2336095,free copy
1397120,3153542,free copy
1399553,3049846,sample product
1400497,3027972,Product sample
1403124,2866187,sample product
1403528,2150631,Free copy
1403751,1980587,review sample
1403959,1057194,free copy
1404296,1551824,review sample
1404565,762033,review sample
1404644,2642787,sample product
1404843,2866665,review sample
1406384,2933691,free copy
1407445,277960,sample product
1408215,1639600,free copy
1410298,321429,review sample
1411666,1790873,sample product
1411674,1566204,Review sample
1412740,2211576,sample product
1412758,1262352,sample product
1414528,2268220,Review sample
1414702,3324069,sample product
1414995,3466488,free copy
1416649,949154,sample product
1417472,2947077,review sample
1418106,649508,review sample
1418249,1645991,free copy
1418680,2231651,sample product
1419775,299208,sample product
1420310,1773754,free copy
1421209,2696841,sample product
1423066,2329645,sample product
1423350,2003298,sample product
1424082,3108224,product sample
1424273,231791,sample product
1425186,2225655,free copy
1426528,1824853,free copy
1426939,2643326,free copy
1426977,1051347,Product sample
1427599,78692,Review sample
1427859,2408339,free copy
1428863,2583864,free copy
1430418,3227839,review sample
1430790,996639,free copy
1433118,3477964,sample product
1434404,2399988,Review sample
1436171,1311403,free copy
1436282,640547,Review sample
1439745,964650,free copy
1440668,3064283,review sample
1443243,3220163,free copy
1446099,2640518,free copy
1446508,2080423,review sample
1447261,1253356,review sample
1447398,3242343,free copy
1447815,182542,review sample
1448449,360889,review sample
1448521,1631547,Review sample
1448646,2219843,free copy
1449634,2727519,free copy
1449986,840586,review sample
1450537,2101557,free copy
1451679,14130,review sample
1452228,3114825,review sample
1452876,3018961,free copy
1453063,3109955,Sample item
1454319,3345820,free copy
1455760,14438,sample product
1456682,3213536,sample product
1457183,2616814,sample product
1460025,3234514,review sample
1460466,2251145,free copy
1460615,989057,product sample
1461657,2675883,free copy
1462043,2634408,free copy
1463117,1444202,free copy
1465191,709796,sample product
1469586,2758661,review sample
1470402,530539,review sample
1471759,2523877,review sample
1471836,2325635,free copy
1473568,2657245,free copy
1473682,1768000,free copy
1474287,1342524,sample product
1476079,1443625,free copy
1476514,2369681,free copy
1476550,2829347,sample product
1479181,1821971,free copy
1479249,2175246,review sample
1479489,1515442,review sample
1479834,1670332,free copy
1480721,2922686,review sample
1482097,2159881,FREE copy
1482292,2260609,product sample
1482393,493934,sample product
1483894,1759448,free copy
1484561,3074721,free copy
1486220,169961,sample product
1489548,1601948,free copy
1489608,1194063,free copy
1491663,3413950,review sample
1491951,2730551,Product sample
1492979,2915209,sample product
1495030,2347300,free copy
1495764,2792812,FREE copy
1497156,65417,free copy
1497647,3456452,sample product
1497739,2726449,Review sample
1500069,1825236,Review sample
1501612,2600622,free copy
1502016,2647061,free copy
1502023,2557065,review sample
1502326,1166071,sample product
1502557,1521498,free copy
1502915,2259726,free copy
1504226,586397,review sample
1504249,2416790,free copy
1504914,2897796,free copy
1507562,1569244,Review sample
1509361,1973982,review sample
1509811,1658278,Review sample
1510362,2632173,sample product
1512513,1775729,free copy
1514994,2752827,free copy
1516667,985385,review sample
1519307,1584358,free copy
1519425,932830,review sample
1521570,2807621,Product sample
1522306,3128023,sample product
1522799,17514,free copy
1523019,3212379,free copy
1524858,1402256,free copy
1525803,617304,Review Sample
1525967,689669,review sample
1526371,2007538,free copy
1528298,146040,free copy
1530048,2390570,sample product
1530108,2484723,free copy
1530610,4295,review sample
1530766,1449617,free copy
1531239,65876,free copy
1531548,2832694,review sample
1531957,2567801,sample product
1532350,2065150,Review sample
1532732,2865971,review sample
1534400,604953,sample product
1534411,1310012,free copy
1536126,1926742,sample product
1536488,1368379,free copy
1537865,1760481,sample product
1539186,2084576,sample product
1539377,2773398,sample product
1539399,2800724,Review sample
1539634,642255,review sample
1539879,228151,sample product
1540710,1890052,free copy
1542523,153356,Review sample
1543884,1649904,sample product
1545086,2112184,free copy
1545108,2031741,review sample
1546851,1807645,free copy
1547030,2375830,free copy
1547171,2536483,free copy
1547546,1888523,free copy
1547652,1613540,free copy
1548147,125447,free copy
1548412,411759,review sample
1549293,394432,review sample
1550397,3062102,review sample
1550818,2961603,Review sample
1551678,2553033,sample product
1551913,3343742,free copy
1552371,366449,review sample
1552708,2571560,free copy
1553269,3120027,review sample
1553702,215509,review sample
1554721,1147428,review sample
1554801,2590519,free copy
1555963,1186053,free copy
1556410,2633904,free copy
1557346,2101828,sample product
1558766,2887056,sample item
1560283,1202789,review sample
1560893,2437434,free copy
1561001,1501734,review sample
1561096,777469,sample product
1563642,2359477,free copy
1564208,2857390,product sample
1567048,1099405,review sample
1569776,1512880,free copy
1569853,2405690,review sample
1573160,2689716,free copy
1574129,2816524,sample product
1574291,2864596,review sample
1574362,1102847,free copy
1575018,2358643,free copy
1576257,3149065,review sample
1577802,2292204,Review sample
1578956,1417144,review sample
1581595,2864277,review sample
1583092,2467411,sample product
1584329,652889,sample product
1584832,3442970,sample product
1585424,2901816,free copy
1585562,429230,free copy
1585685,2197063,free copy
1587070,293294,review sample
1587255,2481350,sample product
1587854,1447713,review sample
1589452,3147703,review sample
1590855,2241121,sample product
1591170,1753113,sample product
1592594,708756,review sample
1594030,2975480,sample product
1594419,1104435,free copy
1595304,2605345,review sample
1595775,2819965,review sample
1596105,3428352,review sample
1597964,1882593,free copy
1598037,2839823,sample product
1598583,3364252,sample product
1599533,480901,review freebie
1599740,1354727,Product sample
1600563,3499381,sample product
1601819,70752,free copy
1602078,2860961,product sample
1604617,3023824,sample product
1605344,1137303,Review sample
1605537,1829568,sample product
1606818,1363259,free copy
1610092,1068619,sample product
1617116,2129948,sample product
1619179,1515830,free copy
1619475,2936741,review sample
1619549,3119536,review sample
1620900,3074873,review sample
1621121,2163276,free copy
1621741,1119617,free copy
1622821,836860,free copy
1623159,812909,sample product
1624110,1604954,sample product
1624640,2956286,Review sample
1626966,38451,free copy
1627218,2536148,free copy
1628479,3420374,sample product
1629043,672853,product sample
1630587,764920,sample product
1630747,2821176,free copy
1631644,903468,sample unit
1632281,2606441,review sample
1633602,1555850,free copy
1633922,2142305,Sample item
1634745,2493858,sample product
1636056,2781047,free copy
1637748,1515699,Review sample
1639451,2698955,free copy
1641795,1437514,Product sample
1642008,2644135,review sample
1642804,252387,sample product
1643671,3313496,free copy
1644260,2368955,free copy
1644282,2169403,free copy
1645365,2456875,free copy
1646426,2895110,free copy
1647637,978176,Review sample
1651096,26713,evaluation copy
1651196,1719829,product sample
1654235,2480677,free copy
1656083,2738714,Review sample
1657827,2525206,free copy
1659660,2633677,free copy
1660289,3187142,review sample
1660438,53796,Review sample
1661913,3024860,review sample
1662219,2653465,Review sample
1663047,284118,Review sample
1663356,2997131,review sample
1664258,790899,review sample
1664924,686966,sample product
1665058,1239714,free copy
1665080,2038609,sample product
1665533,317846,free copy
1666167,2073716,free copy
1667148,2639790,free copy
1668545,1238534,sample product
1668650,1189481,REview sample
1670488,1709484,Sample item
1671469,2392821,free copy
1672924,1474926,free copy
1672942,2771671,free copy
1673558,663101,free copy
1675025,3221362,sample product
1675483,1680861,free copy
1675657,2877179,free copy
1675978,3328189,free copy
1677728,2428696,free copy
1677821,1435289,free copy
1679075,3441019,free copy
1680442,1543546,sample product
1682361,2774716,sample product
1686590,591948,sample product
1688900,1714497,sample product
1689225,2553362,sample product
1690055,3058049,Review sample
1691182,3430709,sample product
1691757,2931473,free copy
1694011,3478094,sample product
1695034,2618622,Review sample
1695854,2764179,free copy
1696479,1456777,free copy
1696611,2118795,review sample
1699446,1141847,free copy
1701080,2414265,review sample
1702790,400714,free copy
1704175,2594444,sample product
1704622,1280543,Review sample
1704681,2717453,sample product
1704964,1081907,review sample
1705273,2750230,review sample
1706116,2726246,free copy
1706148,2343965,free copy
1706168,1394828,review sample
1707904,2558511,sample product
1708880,2225184,review sample
1708918,906110,review sample
1709064,752106,sample product
1709786,3212509,review sample
1711092,2836218,sample product
1711362,2242491,Review sample
1713484,1665898,free copy
1714057,1746260,free copy
1715601,3044475,review sample
1715856,1774484,review sample
1717625,1566744,free copy
1720406,2894317,review sample
1721053,2012712,free copy
1721901,3033712,sample product
1722734,1802949,review sample
1722744,1742695,free copy
1722845,2636872,free copy
1723243,1201529,sample unit
1723530,2499116,sample product
1725187,594400,review sample
1725454,1652327,sample product
1726487,3220399,sample product
1727549,1138473,sample product
1727865,3322882,review sample
1728142,2011968,review sample
1728454,2577016,Review sample
1729187,467087,review sample
1730489,1610982,free copy
1731466,3152993,sample product
1732132,1342875,review sample
1732652,1648681,sample product
1732813,3026427,free copy
1733898,1945254,free copy
1735164,2772585,free copy
1735415,2560499,free copy
1735807,900452,review sample
1736370,681908,Review sample
1739721,2165633,sample product
1740449,3073061,free copy
1741206,282169,sample product
1742929,2936120,Review sample
1743981,2277058,free copy
1744417,2712769,sample product
1745132,3492247,sample product
1746477,1493871,free copy
1746569,2747028,sample product
1747156,2840053,Review sample
1748386,2602149,free copy
1749498,2192480,Review sample
1749723,2180477,review sample
1750785,334738,review sample
1751118,2866581,free copy
1754941,1949354,free copy
1755706,1666423,sample product
1756243,2312974,free copy
1756436,467155,review sample
1757232,282293,Sample product
1757376,450256,Product sample
1758770,1434666,free copy
1759821,545190,sample product
1759971,1321446,free copy
1761309,2236308,sample product
1762011,482680,Review sample
1762949,2688519,free copy
1764425,2471304,free copy
1765496,49552,evaluation copy
1765547,693899,sample product
1766250,1262866,free copy
1766973,3059947,review sample
1767773,3256063,review sample
1768765,2193928,free copy
1769366,2672004,review sample
1770770,1823326,free copy
1772671,2936156,sample product
1772880,1702949,review sample
1773215,1801793,Review sample
1773989,1076748,review sample
1775960,2378322,sample product
1777624,2667880,review sample
1777927,136545,sample product
1778191,722203,review sample
1778847,1237377,review sample
1780352,2776793,review sample
1780640,1821044,free copy
1780998,718586,Review sample
1782639,2688662,sample product
1783148,1367674,free copy
1784027,1694202,sample product
1784869,3165534,sample product
1785280,2855415,sample product
1786650,334999,review sample
1787387,3075018,Product sample
1788058,920279,sample product
1788795,2222214,review sample
1789096,2448115,free copy
1789354,2724655,Review sample
1790272,1787411,free copy
1791301,2252774,review sample
1791799,2863288,review sample
1793059,35410,free copy
1793135,2383070,Review Sample
1794071,3389504,free copy
1795426,3510293,sample product
1796765,3003746,sample product
1797716,2685130,free copy
1798318,1737840,free copy
1801901,1157103,free copy
1802213,1871656,review sample
1802406,2226928,free copy
1802693,1997176,sample product
1802760,1968507,free copy
1803408,2912506,review sample
1804122,242685,free copy
1804730,2800025,review sample
1804945,1190927,free copy
1805589,1011464,Review sample
1805881,3313291,sample product
1805907,2599079,free copy
1806742,760214,review sample
1806756,2242692,free copy
1807117,1406932,Review sample
1807178,2874308,sample product
1808790,2434433,sample product
1811351,2774837,free copy
1811869,1956866,free copy
1812229,677044,review sample
1813435,935533,review sample
1813975,1054777,free copy
1814357,1070055,Review Sample
1815039,2822286,review sample
1815485,2976251,Review Sample
1815693,1490672,Review sample
1816618,2051987,free copy
1816928,1774540,free copy
1817398,347967,Review sample
1817507,1440722,review sample
1818115,433002,review sample
1818156,2575913,Review sample
1821968,648012,review sample
1822266,2217086,review sample
1823445,2073658,free copy
1823481,2940922,sample product
1823652,2827864,Sample item
1823744,453863,review sample
1824614,987030,sample product
1826899,1980044,Review sample
1829277,3271266,free copy
1829700,2794268,Product sample
1832730,702836,review sample
1832804,2342542,free copy
1833330,1258766,free copy
1833962,453896,review sample
1835324,1262690,free copy
1836114,1442964,free copy
1836391,739751,Product sample
1837887,2514571,free copy
1837961,1802620,free copy
1839826,1449857,review sample
1841143,2597057,free copy
1841493,1118101,Review Sample
1842925,1783220,free copy
1843051,2585849,sample product
1843698,2553080,free copy
1844096,1555009,free copy
1844468,2280545,free copy
1846330,247154,review sample
1846408,3180518,review sample
1847639,1752760,sample product
1847938,3127698,sample product
1849981,2266105,free copy
1852103,3155513,sample product
1853395,2601627,sample product
1853696,3007965,sample product
1855535,2367386,free copy
1857917,2834646,free copy
1858617,759789,review sample
1860342,1767993,sample product
1860589,3069334,sample product
1860788,2435331,free copy
1862007,11963,sample product
1862379,487234,review sample
1862452,2106822,review sample
1863806,2631475,free copy
1864133,2301329,free copy
1866145,3205413,sample product
1866196,3486632,free copy
1867333,688626,free copy
1868079,2843806,free copy
1869854,141371,review sample
1874314,2936271,review sample
1875407,2087321,sample product
1876071,2435875,free copy
1876159,2154013,review sample
1876286,1209547,review sample
1876697,2511558,Review Sample
1881464,1381122,sample product
1884299,2417974,free copy
1885393,2931982,free copy
1885527,3042540,review sample
1886382,2067939,review sample
1886908,311241,sample product
1887538,2016058,free copy
1888069,8226,review sample
1888784,277852,sample product
1890499,3207328,free copy
1892764,769838,review sample
1893923,2336453,free copy
1894209,2713800,free copy
1895313,3061310,Review sample
1895321,1800354,sample product
1895604,1607135,sample product
1897650,1218461,sample product
1898934,1386668,sample product
1899075,2584748,sample product
1899876,1972521,free copy
1901281,2473908,review sample
1901756,11445,review sample
1901937,1685749,Review sample
1901942,2915984,review sample
1902736,579537,review sample
1902943,3229228,review sample
1903380,2480606,free copy
1905956,3421876,review sample
1907278,2747806,review sample
1907473,2976794,sample product
1908410,3010616,review sample
1908421,555324,Review sample
1909751,1008488,sample product
1910217,2745011,review sample
1910438,2257524,sample product
1911045,1370942,review sample
1911203,1688824,free copy
1913396,2917335,sample product
1915933,2430713,review sample
1918153,1850772,free copy
1922149,10152,sample product
1922918,2421054,sample product
1923499,2160562,free copy
1923558,2868321,review sample
1926718,2966099,review sample
1927419,556020,review sample
1927431,177864,review sample
1928937,2755051,free copy
1931832,13454,free copy
1932016,2858812,free copy
1932367,2682962,review sample
1932574,2296889,sample product
1932596,2942413,Product sample
1932765,2341999,review sample
1933299,2522216,free copy
1933386,778747,Review sample
1933540,3342674,review sample
1935907,372868,free copy
1936524,1825435,product sample
1937699,333808,product sample
1937702,3361273,sample product
1940105,1345689,review sample
1941061,3355203,review sample
1942816,584683,Review sample
1943733,2885476,free copy
1944320,3116748,Review sample
1944386,3180898,product sample
1944908,1671474,free copy
1945356,1524812,sample product
1945872,344801,review sample
1946784,3090283,free copy
1949721,2096721,free copy
1950650,2879264,review sample
1951065,2651977,sample product
1952567,1832167,free copy
1954490,2425599,sample product
1954961,445319,Product sample
1956639,1677500,sample product
1956905,1869918,sample product
1958501,2849738,review sample
1959545,3480542,review sample
1960305,2236927,free copy
1960327,3339146,review sample
1960402,2093723,sample product
1961305,572092,Product sample
1961720,3068823,review sample
1961747,2804988,free copy
1962473,882624,sample item
1964734,2169094,free copy
1964818,3287571,sample product
1965950,14131,review sample
1966077,1802061,product sample
1966787,2176387,free copy
1968973,1014930,review sample
1970075,315695,Review sample
1970333,3135163,review sample
1972124,2390472,free copy
1972737,2296970,review sample
1973094,3343020,Sample item
1973233,10949,review sample
1975016,2352280,sample product
1975160,2829603,free copy
1976022,1698932,free copy
1977828,2613387,free copy
1978291,1991776,sample product
1978677,2248371,sample product
1978872,2415804,free copy
1978970,1447773,product sample
1979398,1304276,Review sample
1980242,2864106,review sample
1980911,3260227,sample product
1980955,2418229,evaluation copy
1981238,2715160,sample product
1981426,106617,Product sample
1982145,3082817,Review sample
1982396,2421171,free copy
1983172,1230393,sample product
1983344,903892,Review sample
1983992,1826790,free copy
1985513,2258763,free copy
1985945,798140,review sample
1986615,1237989,Review sample
1987408,3095786,Review sample
1987982,1714819,free copy
1988095,1831073,review sample
1988240,1089003,free copy
1990704,2724941,review sample
1990811,509958,sample product
1991788,2681234,sample product
1991833,3252098,sample product
1992309,2206094,review sample
1992580,1397281,sample product
1993357,2872964,free copy
1993374,948921,review sample
1993396,1166472,free copy
1993600,2206383,free copy
1993849,2666613,free copy
1996066,2567741,free copy
1996097,1779147,free copy
1996999,3479721,review sample
682,2307543,sent this product in exchange for a review
2587,534244,provided evaluation unit for impartial review
3194,2075193,provided unit for review
3533,37111,"receive this item from Gillette as part of a test program, but my review"
3549,487059,"got the unit thru my router and can see the cameras on Google Chrome and Firefox. Also, after setting up a user account on Q-SEE website, I was able to see the cameras on my iPhone. The registration is quick and painless. Very pleased here!  This is a robust system with a USB port to backup history. Very smart. This unit also has a sound option which is very nice. I have run the mike to the front porch. Some things make this a rather simple setup. First assign the unit a fixed IP address. It does not matter that the cameras are on a 10.10.xx.xx sub-net. Then follow the instructions to allow port 85 and 37777 to pass thru your router. You do not have to do anything to your cable modem. I have the latest Motorola unit and it really is just a dumb box for this application. Be sure to enter the 192.168.1.1xx:85 in your browser and it should pull up your Q-SEE remote page and let you log in. Uninstall  the PSS software. You do not need it unless you are an IT or Security professional or just like to tinker. I had an electrician run my cables. I ran two Ethernet cable to each camera. One as a spare. My experience is that sometimes these cables are bad and it is not the connectors. The cameras produce a clear black and white image in the dark. I was surprised by this. The color is very nice with the lights on or during the day. Camera placement is important. I put two in front of my garage. We have a lot of thefts in Florida by folks leaving the garage open and folks dropping in to take their stuff.  Enjoy your system.<br /><br />Addendum to previous review"
4039,183924,"given the product a \\""5\\"", however, I'd like for it to get a little cooler than it does. Some consumers put it in ice water before using; great idea! DO NOT PUT IN FREE"
5544,2178661,"receive this product, you will need to charge it for a solid 18 hours per the instructions.  So if you are thinking of opening this Christmas morning or at a birthday party etc, you will have some very frustrated kids as the manual warns that using it prior to this initial charge will potentially damage the battery.<br /><br />Now that's out of the way, I spent about 2 hours assembling it and the directions for the most part are well-written.  There are 38 steps with black and white illustrations - very helpful.  There were a few frustrating moments for me.  A few steps where I would add some extra tips are:<br /><br />Step #5 -- Don't try to put the steering wheel cap on the wheels.  I wasted a couple of minutes trying to figure out why it wouldn't snap on the wheel.<br /><br />Step #7/8 -- The illustration in #6 is a bit off - when the right front axle is pulled forward, the left front axle is NOT perpendicular to the vehicle.  This step was rather frustrating, but pull the axle all the way forward and then put the screw in the hole and turn it with some force.<br /><br />Step #17 - this was by far the worst step for me.  I was using the wrong fenders (the front instead of the rear and the photo of the seat seems backwards.  I still can't figure out that illustration but once I had the correct fenders things made more sense and I was able to complete this step.<br /><br />Step #20 - acorn nuts.  To this day I have no idea why they have you put two screws in these holes and put acorn nuts on the back.  They don't seem to serve any purpose.<br /><br />The other assembly tip I would add is make sure you put this together on old towels.  This product scratches extremely easily.  Beyond easily.<br /><br />Overall, assembly was OK and the vehicle looks great. It has good speed and power for a toy and is a lot of fun for the kids.  I do wish the tires were rubber instead of plastic, though... they make a lot of noise and will not wear well on cement.<br /><br />Another tip:  See page 24 (sort of hidden in the back) to read about the screw you remove from the gear shift that doubles the speed from 2.5 to 5 mph.  I'm guessing a lot of people miss that as it is tucked away.<br /><br />My nephew and nieces had a great time on this... they were aged 7 to 11, and we left it on the &#34;slow&#34; speed (there's a screw you remove to enable 5 mph vs 2.5 mph) the whole time.  They all LOVED driving this car around... very maneuverable and handled bumps and even small hills well.  I do wish the tires were rubber.  Easy to work the accelerator and even their dad (an adult) got in and took it for a brief spin, so it has a motor that will handle 150 pounds or so.  We had a really fun afternoon playing with it and the battery lasted the whole afternoon of play.<br /><br />Overall, another quality toy from Fisher Price and one that your kids will love.<br /><br />Hope this helps and if you have questions including assembly questions feel free"
6870,3505251,got this item for free
8527,609765,receive this item so therefore I cannot review
9196,770591,provided this item for review
9415,2831702,got this product as it had so many great review
9453,2369883,"got this product for my daughter who has been taking guitar lessons for a year or so.  In a word, it is awesome!  We got the PC version, hooked an HDMI cable to the TV and routed the sound from the PC to the amplifier to fix the lag on the sound through HDMI.  It is just like playing a video game, except with a real guitar.  My daughter loves getting to play with real music and that some of the songs you can download are ones that a 13 year old is into.  She is past the plucking stages that you start with and is playing chords.  I love the progression and testing"
11005,2003448,"got the product we tried it around the house and it sounded very good. In the car where it matters it is extremely poor. If you drive a very quiet car or truck you may find it adequate.<br /><br />The unit looks good and has a quality feel to it which I find to be common to most Jabra products. The first thing to greet me when opening the packaging is an offer to a $59.00 per year subscription to &#34;Voice Assist&#34; , which is a third party voice dialing app. In order for you to voice dial from the Jabra Free"
13038,37915,get the product functional make me want to deduct a star from my original review
13251,61154,"get the product downloaded I still have to \\""train\\"" it and see if it actually works.  Their customer service is awful and I saw this in other review"
13419,2134492,Provided this item in exchange for my honest review
15224,1194488,given this product for review
15897,3279820,"offered this product, I kept looking through the small grouping of review"
16183,1560121,sent this product by OXA in exchange for a review
17023,1514862,provided this item for review
17892,2834293,sent this product in exchange for a review
19213,2201231,provided this item for review
19425,1804237,receive this product for a honest review
20751,3324786,receive these products for free
21039,872250,get coupons for free
22604,929414,sent this product in exchange for a honest review
22898,1154761,"got free samples from my dermatologist and I have been using it ever since.  This product is meant to go over your initial moisturizer (I use the Redness Relief Night Cream, even in the daytime, as suggested by the dermatologist).  Dab it on / pat it on, do not rub it on!  Use sparingly, you do not glob it on!  It does not cure the redness but reduces it.  My skin tone appears more even and less red when I use it, and that is the purpose of the product. I like the SPF 15; my sensitive  skin generally cannot tolerate any SPF higher than that.  Edit: upon reading other review"
23272,31891,"got this product I thought to myself, \\""wow, I finally got a powerful video making program that will allow me to make some great videos.\\"" Boy was I wrong.<br /><br />To begin with, even before you start making a video, after you open up this program, just navigating around in it, it works slow, and I have Windows 7 64 bit, which it says to have for best operation, and there were no other programs running.<br /><br />UPDATE: Original review"
